geolocation_latlng_sk,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
38e74bce-cb26-446c-b2a0-612af16208e2,68903,0.0046169999999960964,-51.086300744885747
10a2da11-551a-4075-93d3-b2a8251e22e5,65044,-2.545434,-44.327792514570945
45c4526c-dee1-4973-9735-e5899b33c960,25995,-22.379789300034645,-42.926632326903089
a3c29a73-9597-412d-a1de-2921c2c2e162,60763,-3.8169543789999807,-38.592254999999966
e66e02dc-a30e-4e56-aafc-e6aa3bbb840b,25931,-22.627556252999966,-43.159941619999984
b284f1ec-f00c-49df-908a-de4fb50cc1ec,9761,-23.705014420450425,-46.530016752670889
80a349ba-9042-4aef-a764-fad12fa84913,81480,-25.560292976686469,-49.333129611575963
f0adebee-0725-4e2b-bcc9-b7f0b1c59e17,37920,-20.636307097051031,-46.505183530688861
77b17522-91fc-4432-ad6b-63b50ff5a492,33944,-19.810110093340882,-44.028496875545478
5c1e233d-7b91-4191-bfd0-a16106fed812,27950,-22.344939999999951,-41.76085999999998
0e1f5ea6-efbf-4c89-a4e7-861bf5e2ba46,61809,-3.9052822574765287,-38.599527219672517
9bd2a224-ad8b-4923-9e2f-81319dc069cb,18022,-23.524295594100295,-47.4343524992766
7e6cbbf6-fa8e-4a78-8223-b8e7690565de,68734,-1.0687510767326671,-47.276680580928
c93fb999-ee7b-49ff-9708-d70df3c55924,62250,-4.3231399999999667,-40.709509999999966
433f97be-c6a8-4587-bceb-40a8995b2796,54170,-8.09759424290587,-34.990505474731357
60ecde19-11a8-4bff-aebd-ebdd4307fe0a,37508,-22.402714500000002,-45.533639250000007
8a4084a3-1b3c-4ff2-9fc4-e04d40f6794c,9111,-23.673129422153579,-46.491989724825345
ecb93718-2a5e-43bf-a306-7cad3bf695f9,77826,-7.1777327689999311,-48.186950999999965
361e9083-bada-4a91-8e32-cb1c3ce93ea8,3964,-23.59963995920134,-46.473701642102839
1e2322d1-8127-45c9-9b35-27c4ca195311,65062,-2.5186853294477487,-44.242519306134227
45a89104-898e-4c04-9826-1ea3a4ea60dc,64750,-8.1327760397875863,-41.142870982340021
a2de668d-e117-4269-bcd6-d0cc4c438fdb,98760,-27.921411538071879,-53.9422010254883
2eb35d1d-56d9-41d9-869f-82f3a27a8f83,6864,-23.748060277471268,-46.793991567676592
2ff0685f-a3bb-4cbf-9b6d-a549f92051bf,23017,-22.915539999999964,-43.542339999999967
1ec639ac-58b8-4305-a09b-d66d2c75ad27,8562,-23.529434782964927,-46.346988598534196
61a828e5-e7f3-4d61-a576-e22c5cc1baf7,4268,-23.594963898695823,-46.608813707600021
0552d63b-165a-4764-9cfc-045c027bb37a,87390,-24.243355701260043,-52.78414957325019
a5acd215-ffdf-49c1-b29d-09c2f9181793,64790,-8.9297759999999471,-41.898436999999973
e1a877b8-0aa4-439a-93eb-3c9233fb2288,78307,-13.721173638735763,-59.265403559473761
fe69c9aa-0bf2-4360-9e2e-aec3b51ea88a,88334,-27.056286,-48.596314882047395
ad224edc-e18c-4347-b819-b54f83d5199f,68450,-1.8962430400603125,-48.766915902169963
895c3ad2-7071-4b6c-b995-f21e1fb5d9c0,61814,-3.8888089029999264,-38.603112885999963
a6a179a1-4a82-42ae-ad10-d8e62f96bb49,39207,-18.25622999999996,-45.066619999999944
3f6c5413-90a3-4a6d-b718-e9f73cdd2edf,69914,-9.9814020663338852,-67.877927638496161
329aeef3-f01a-4b49-8019-d28221c71d79,66625,-1.3626683479999429,-48.43685499999998
d15fc903-b69e-43ad-9858-3cd04b562431,25045,-22.7179799820924,-43.314435386681161
42e87914-49aa-47c1-9940-8d3a15b8889e,24722,-22.803674324478379,-42.979828887926821
d3b14426-a08a-44cd-8f96-13f22a730152,5582,-23.571318927751236,-46.720310847737331
f3e350c1-26d4-4ffc-a976-cec1598d7002,53025,-8.0142782689422347,-34.852967449766275
309ee2e5-cab8-4558-b0f6-70d21e249f3d,31990,-19.854201939494487,-43.892061983207356
ebf0aa79-e5da-4393-81d2-479ef5845869,90840,-30.082650566081611,-51.222379705995372
26948639-f76e-4ca7-b110-1743961e1bf2,2078,-23.502460609498485,-46.593745889809028
857867ba-43f5-4868-92f1-17118fb61a43,12490,-22.690669999999955,-45.735499999999945
6051f3f6-4237-49d8-805e-fcf2cb40da98,40310,-12.960966268942229,-38.480523962115512
a3948944-82bf-4928-9abf-5cb437f59ec2,98400,-27.355470897009582,-53.40427015016742
91fbf932-f4f3-4df5-9eaa-d7ebbd08fe98,70253,-15.817775911691115,-47.897689367536671
578b1bcf-7307-43c9-a78f-0e153f51de9e,1535,-23.569618023313524,-46.624900782272427
60846ac8-bb9f-4d5b-86f0-95d1f0cc5899,68719,-0.82325999999994792,-47.230338499999959
b2ae05be-2304-48f9-a49d-ac0eef5d9c69,96835,-29.749235241058159,-52.415440524520321
eeaa803c-fd2e-48bf-a653-94688091d2dd,2210,-23.486539526227716,-46.579267755063768
a0fa4b24-083e-4d1b-90c9-fdefc57cd2dc,70879,-15.737503500000003,-47.887051499999991
709fd773-8c0c-4dec-a2b2-2f42cdc1de56,74395,-16.719716999999946,-49.360620499999968
4965d7a2-259d-4f0e-b6f5-994a951c85d4,45210,-13.86935073199993,-40.082145509999975
ac9c024c-7084-4862-8aa0-afaecb30c4f1,16220,-21.52877641781015,-50.552464970876436
4e5295c6-cd31-4828-b7e7-26b112290f30,18015,-23.496367075339549,-47.43890030979464
789274c7-d4ba-4d65-bc22-6e1fab41e530,64037,-5.18792499999995,-42.736998683999957
e7d6e4d6-500f-434b-81c7-d3ebfadcca1d,64243,-3.9646739999999454,-41.310673999999949
3b8f07d9-4675-4564-837d-939447930237,39130,-18.445049214042228,-43.6598059256294
