seller_sk,seller_id,seller_zip_code_prefix,seller_city,seller_state
01e49d03-41f5-416c-941b-ca137f99fda4,4be2e7f96b4fd749d52dff41f80e39dd,69900,rio branco,AC
9705019e-a35d-42ec-a782-9244e061a7c7,327b89b872c14d1c0be7235ef4871685,69005,manaus,AM
fe142669-93f7-4b62-ace2-04d4df74e1a9,4221a7df464f1fe2955934e30ff3a5a1,48602,bahia,BA
39cf23a4-be8b-40af-9b14-e07ece225ab3,651530bf5c607240ccdd89a30c9c9712,44600,ipira,BA
14dd7a0e-4f98-4a55-b0c6-75242409246d,2b402d5dc42554061f8ea98d1916f148,44900,irece,BA
32c7fe2b-1b42-4791-bb89-62d7427a0eed,d03698c2efd04a549382afa6623e27fb,45658,ilheus,BA
cac10f44-d8f6-4a87-9759-5173dd410df1,c72de06d72748d1a0dfb2125be43ba63,46430,guanambi,BA
3c0a0f27-6a31-49fd-bd7b-9b6eacf21b61,fc59392d66ef99377e50356ee4f3b4e1,40243,salvador,BA
9f988fca-9850-4d94-a7dd-8a7202ba6cec,b00af24704019bd2e1b335e70ad11f7c,40130,salvador,BA
f7aee7a7-9fdf-4ff4-aa6d-67f4b9402b16,75d34ebb1bd0bd7dde40dd507b8169c3,41820,salvador,BA
b8ebe658-3f34-428a-9c8a-445dd3bbc07f,eb4a59a06b3948e851a7d7a830bcbc42,41820,salvador,BA
ac8b3748-ae18-436a-9498-14b4eaf9613d,398cb257329ef7af7f1943a8974a3cbc,40285,salvador,BA
24cd5ccb-7264-4625-ac14-deeb3cb5addc,a3dd39f583bc80bd8c5901c95878921e,41342,salvador,BA
06efdf49-135b-4fed-b876-93639ab6b525,f3055483058c84d75ca2a3314fb4deef,40368,salvador,BA
e5aa2c3f-6bd9-491b-8ae3-3c6729c4b0df,659e8466eb3ff1b0e8740d74fb7bbedd,45820,eunapolis,BA
e0d7a4bd-fbcf-4fb7-b2e0-bb7bc936cec7,43753b27d77860f1654aa72e251a7878,44895,barro alto,BA
bb3c3ddc-1cbf-40f0-a002-12eb9f193508,d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA
fb779b2e-ee43-4081-9f96-7a50b75ecbc3,4fb41dff7c50136976d1a5cf004a42e2,44002,feira de santana,BA
d3595890-d73d-41f2-9aad-af2647a08a79,1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA
378f6ea1-3ef2-4d8c-8dee-8468042449d5,53243585a1d6dc2643021fd1853d8905,42738,lauro de freitas,BA
bc117353-2390-4be8-b139-34601810235b,4aba391bc3b88717ce08eb11e44937b2,45816,arraial d'ajuda (porto seguro),BA
75cdaa47-21b3-4b99-99c9-d1cec9f6cb4f,8d79c8a04e42d722a75097ce5cbcf2ef,61658,caucaia,CE
043b4c78-ab7b-4f8a-86ff-6262a5099e2e,cf281cf8b7affbdfe751b29cc85580e1,61760,eusebio,CE
b0d13296-65f7-4602-8692-d35b29f0281f,38102b031c2a15e54623d711bfc753d3,62170,mucambo,CE
5f82f75e-ffe8-4222-bba0-ff969a48f4d6,c747d5b92c7648417faea95d36d763e8,61800,pacatuba,CE
dcbdac04-9ffc-42fd-8c97-26d59a34c4d3,dbdd0ec73a4817971d962698f2fea022,60710,fortaleza,CE
6f5b94c0-3056-43d6-85c8-cca5e3c4e353,c4fabeea6e569d42d02993bb1f4f1cbc,60741,fortaleza,CE
fe523779-9510-4fc8-9c59-6e93b0e30f36,c7246702dc991a06d788120dc7544391,60440,fortaleza,CE
151d6f88-eb25-4d54-9138-a537380a36d8,578fa3a9cb6b6dceab39231ad59cdaca,60025,fortaleza,CE
de102cc5-9dad-4b1c-b02e-939d66453009,3da38366e7bd9baf6369071f782ecdf0,60346,fortaleza,CE
4604c06c-908c-40f5-8b0f-938d7248acd0,bbf9ad41dca6603e614efcdad7aab8c4,60348,fortaleza,CE
38777e0b-acec-45c8-8c0d-4aeb9a4916de,21c62b998a043ebe31161d38f84929fc,60110,fortaleza,CE
85733de4-920a-4c2f-b1c7-0111b1d69f7a,299c89a525fee36c567f4fe72f038100,63540,varzea alegre,CE
1edc7afa-c4ba-408d-bebf-249fac9fd5f0,d4828feed4cda2cd9d6b37899a95a71e,63020,juzeiro do norte,CE
6925d95c-fcb0-47b6-a104-d119bfb0a06e,3c487ae8f8d7542beff5788e2e0aea83,72460,gama,DF
